X0,y,X89
2015-12-16 02:05:00,19.2375,12.4
2015-12-16 02:10:00,19.2,12.4
2015-12-16 02:15:00,19.2,12.4
2015-12-16 02:20:00,19.175,12.4
2015-12-16 02:25:00,19.15,12.4
2015-12-16 02:30:00,19.15,12.4
2015-12-16 02:35:00,19.1125,12.4
2015-12-16 02:40:00,19.075,12.3
2015-12-16 02:45:00,19.075,12.3
2015-12-16 02:50:00,19.0375,12.3
2015-12-16 02:55:00,19.0,12.2
2015-12-16 03:00:00,19.0,12.2
2015-12-16 03:05:00,18.98125,12.2
2015-12-16 03:10:00,18.9625,12.1
2015-12-16 03:15:00,18.9625,12.1
2015-12-16 03:20:00,18.94375,12.1
2015-12-16 03:25:00,18.925,12.1
2015-12-16 03:30:00,18.925,12.0
2015-12-16 03:35:00,18.89375,12.0
2015-12-16 03:40:00,18.8625,12.0
2015-12-16 03:45:00,18.8625,12.0
2015-12-16 03:50:00,18.83125,12.0
2015-12-16 03:55:00,18.8,12.0
2015-12-16 04:00:00,18.8,12.0
2015-12-16 04:05:00,18.775,12.0
2015-12-16 04:10:00,18.75,12.0
2015-12-16 04:15:00,18.75,12.0
2015-12-16 04:20:00,18.725,12.0
2015-12-16 04:25:00,18.7,12.0
2015-12-16 04:30:00,18.7,12.0
2015-12-16 04:35:00,18.69375,12.0
2015-12-16 04:40:00,18.6875,12.0
2015-12-16 04:45:00,18.6875,12.0
2015-12-16 04:50:00,18.65625,12.0
2015-12-16 04:55:00,18.625,12.1
2015-12-16 05:00:00,18.625,12.1
2015-12-16 05:05:00,18.6,12.1
2015-12-16 05:10:00,18.575,12.2
2015-12-16 05:15:00,18.575,12.2
2015-12-16 05:20:00,18.5625,12.2
2015-12-16 05:25:00,18.55,12.2
2015-12-16 05:30:00,18.55,12.2
2015-12-16 05:35:00,18.54375,12.2
2015-12-16 05:40:00,18.5375,12.3
2015-12-16 05:45:00,18.5375,12.3
2015-12-16 05:50:00,18.50625,12.3
2015-12-16 05:55:00,18.475,12.3
2015-12-16 06:00:00,18.475,12.3
2015-12-16 06:05:00,18.4625,12.3
