X0,y
2015-12-17 06:45:00,18.575
2015-12-17 07:00:00,18.55
2015-12-17 07:15:00,18.5125
2015-12-17 07:30:00,18.45
2015-12-17 07:45:00,18.425
2015-12-17 08:00:00,18.35
2015-12-17 08:15:00,18.55
2015-12-17 08:30:00,20.625
2015-12-17 08:45:00,22.725
2015-12-17 09:00:00,23.0875
2015-12-17 09:15:00,22.3125
2015-12-17 09:30:00,21.75
2015-12-17 09:45:00,21.175
2015-12-17 10:00:00,20.8125
2015-12-17 10:15:00,20.5375
2015-12-17 10:30:00,20.35
2015-12-17 10:45:00,20.275
2015-12-17 11:00:00,20.175
2015-12-17 11:15:00,20.45
2015-12-17 11:30:00,22.3875
2015-12-17 11:45:00,24.325
2015-12-17 12:00:00,23.625
2015-12-17 12:15:00,22.1875
2015-12-17 12:30:00,21.2625
2015-12-17 12:45:00,20.9625
2015-12-17 13:00:00,20.9166666665
2015-12-17 13:15:00,20.9083333332
2015-12-17 13:30:00,20.9416666665
2015-12-17 13:45:00,20.9916666665
2015-12-17 14:00:00,21.0166666665
2015-12-17 14:15:00,21.05
2015-12-17 14:30:00,21.0749999997
2015-12-17 14:45:00,21.1375
2015-12-17 15:00:00,21.175
2015-12-17 15:15:00,21.2375
2015-12-17 15:30:00,21.275
2015-12-17 15:45:00,21.275
2015-12-17 16:30:00,21.275
2015-12-17 16:45:00,21.25
2015-12-17 17:00:00,21.25
2015-12-17 17:15:00,21.2375
2015-12-17 17:30:00,21.225
2015-12-17 17:45:00,21.225
2015-12-17 18:00:00,21.225
2015-12-17 18:15:00,21.2125
2015-12-17 18:30:00,21.1625
2015-12-17 18:45:00,21.1125
2015-12-17 19:00:00,21.075
2015-12-17 19:15:00,21.05
2015-12-17 19:30:00,21.0
2015-12-17 19:45:00,20.9875
2015-12-17 20:00:00,20.925
2015-12-17 20:15:00,20.9
2015-12-17 20:30:00,20.95
2015-12-17 20:45:00,20.95
2015-12-17 21:00:00,20.95
2015-12-17 21:15:00,20.875
2015-12-17 21:30:00,20.825
2015-12-17 21:45:00,20.8
2015-12-17 22:00:00,20.7625
2015-12-17 22:15:00,20.7
2015-12-17 22:30:00,20.675
2015-12-17 22:45:00,20.65
2015-12-17 23:00:00,20.6125
2015-12-17 23:15:00,20.5833333332
2015-12-17 23:30:00,20.5583333333
2015-12-17 23:45:00,20.525
